data;

param N := 254;

param: Arcs: Cost :=1 2 26
1 3 82
1 4 65
1 5 102
1 6 100
2 1 147
2 2 134
2 3 75
2 4 69
2 5 117
2 6 42
3 1 89
3 2 125
3 3 38
3 4 40
3 5 13
3 6 38
4 1 31
4 2 22
4 3 103
4 4 143
4 5 94
4 6 104
5 1 123
5 2 140
5 3 98
5 4 58
5 5 38
5 6 30
6 1 67
6 2 120
6 3 149
6 4 100
6 5 141
6 6 93
7 1 162
7 2 62
7 3 66
7 4 66
7 6 56
8 1 39
8 2 76
8 3 109
8 4 156
8 5 140
8 6 141
9 1 135
9 2 183
9 3 108
9 4 155
9 5 190
9 6 104
10 1 76
10 2 79
10 3 104
10 4 97
10 5 88
10 6 130
11 1 176
11 2 121
11 3 131
11 4 150
11 5 167
11 6 125
12 1 85
12 2 65
12 3 57
12 4 94
12 5 147
12 6 160
13 1 80
13 2 162
13 3 67
13 4 189
13 5 128
13 6 40
14 1 43
14 2 57
14 4 16
14 5 20
14 6 53
15 1 100
15 2 84
15 3 87
15 4 107
15 5 155
15 6 85
16 1 132
16 2 168
16 3 81
16 4 53
16 5 56
16 6 81
17 1 74
17 2 65
17 3 146
17 4 186
17 5 137
17 6 147
18 1 166
18 2 183
18 3 141
18 4 101
18 5 81
18 6 73
19 1 110
19 2 163
19 3 164
19 4 102
19 5 166
19 6 71
20 1 205
20 2 105
20 3 62
20 4 27
20 5 41
20 6 62
21 2 82
21 3 97
21 4 144
21 5 131
21 6 102
22 1 96
22 2 144
22 3 69
22 4 116
22 5 152
22 6 65
23 1 37
23 2 40
23 3 65
23 4 58
23 5 49
23 6 130
24 1 170
24 2 121
24 3 131
24 4 150
24 5 167
24 6 125
25 1 85
25 2 65
25 3 57
25 4 94
25 5 147
25 6 166
26 1 86
26 2 168
26 3 73
26 4 189
26 5 89
26 6 46
27 1 106
27 2 120
27 3 63
27 4 79
27 6 33
28 1 80
28 2 64
28 3 67
28 4 87
28 5 135
28 6 100
29 1 147
29 2 208
29 3 130
29 4 116
29 5 119
29 6 144
30 1 137
30 2 128
30 3 209
30 4 226
30 5 200
30 6 189
31 1 208
31 2 195
31 3 153
31 4 164
31 5 144
31 6 136
32 1 122
32 2 175
32 3 144
32 4 107
32 5 146
32 6 51
33 1 268
33 2 93
33 3 83
33 4 109
33 5 135
33 6 161
34 1 174
34 2 142
34 4 47
34 5 34
34 6 34
35 1 54
35 2 102
35 3 67
35 4 114
35 5 175
35 6 97
36 1 97
36 2 96
36 3 128
36 4 135
36 5 131
36 6 198
37 1 193
37 2 203
37 3 213
37 4 232
37 5 249
37 6 207
38 1 167
38 2 147
38 3 139
38 4 176
38 5 229
38 6 222
39 1 204
39 2 224
39 3 148
39 4 235
39 5 60
39 6 175
40 1 157
40 2 171
40 3 114
40 4 130
40 5 95
40 6 60
41 2 40
41 3 94
41 4 114
41 5 162
41 6 127
42 1 174
42 2 235
42 3 157
42 4 157
42 5 156
42 6 188
43 1 188
43 2 179
43 3 258
43 4 253
43 5 251
43 6 239
44 1 258
44 2 245
44 3 203
44 4 215
44 5 195
44 6 187
45 1 172
45 2 207
45 3 175
45 4 157
45 5 177
45 6 101
46 1 295
46 2 120
46 3 133
46 4 143
46 5 169
46 6 132
47 1 148
47 2 113
47 3 34
47 4 31
47 6 68
48 1 88
48 2 133
48 3 101
48 4 148
48 5 209
48 6 131
49 1 131
49 2 130
49 3 162
49 4 169
49 5 165
49 6 232
50 1 227
50 2 237
50 3 247
50 4 266
50 5 263
50 6 221
51 1 201
51 2 181
51 3 173
51 4 190
51 5 225
51 6 193
52 1 175
52 2 195
52 3 119
52 4 269
52 5 94
52 6 151
53 1 75
53 2 101
53 3 157
53 4 140
53 5 176
53 6 34
54 1 81
54 2 68
54 4 20
54 5 68
54 6 33
55 1 80
55 2 141
55 3 63
55 4 63
55 5 62
55 6 94
56 1 101
56 2 97
56 3 164
56 4 159
56 5 169
56 6 179
57 1 198
57 2 215
57 3 173
57 4 133
57 5 113
57 6 105
58 1 142
58 2 195
58 3 224
58 4 175
58 5 216
58 6 168
59 1 201
59 2 26
59 3 141
59 4 95
59 5 121
59 6 177
60 1 160
60 2 196
60 3 54
60 4 101
60 5 88
60 6 20
61 2 48
61 3 53
61 4 100
61 5 158
61 6 83
